1270473.js (8, 16) (u'flag', False)
1100733.js (25, 0) (u'window', True)
1100733.js (11, 13) (u'i', False)
1100733.js (3, 50) (u'old', False)
1100733.js (4, 6) (u'to', False)
1100733.js (12, 50) (u'old', False)
1323162.js (22, 7) (u'undefined', True)
2237262.js (9, 4) (u'undefined', True)
4684754.js (7, 2) (u'undefined', True)
341653.js (18, 2) (u'ref', False)
2865878.js (4, 4) (u'package', True)
4005322.js (14, 5) (u'reset', False)
4005322.js (11, 5) (u'hideMenu', False)
4005322.js (2, 30) (u'_observer', False)
4005322.js (2, 42) (u'setView', False)
68320.js (14, 33) (u'parseFloat', True)
68320.js (12, 8) (u'Array', True)
4975090.js (1, 13) (u'id', False)
4975090.js (2, 1) (u'stats', False)
1879010.js (4, 23) (u'undefined', True)
987815.js (46, 4) (u'n', False)
987815.js (46, 6) (u'r', False)
987815.js (22, 4) (u'e', False)
987815.js (41, 4) (u'_5', False)
987815.js (18, 3) (u'j', False)
859182.js (47, 22) (u'require', False)
859182.js (47, 24) (u'exports', False)
859182.js (52, 1) (u'Range', False)
859182.js (65, 4) (u'Mode', False)
859182.js (54, 4) (u'VerilogHighlightRules', False)
859182.js (56, 6) (u'TextMode', False)
859182.js (27, 2) (u'keywordMapper', False)
859182.js (56, 0) (u'oop', False)
859182.js (47, 26) (u'module', False)
2630672.js (23, 4) (u'range', False)
2630672.js (30, 4) (u'range', False)
2630672.js (20, 4) (u'range', False)
2630672.js (11, 4) (u'range', False)
2630672.js (27, 4) (u'range', False)
2630672.js (33, 4) (u'range', False)
5024308.js (5, 3) (u'JSON', True)
5024308.js (6, 4) (u'oauthUser', False)
868137.js (21, 1) (u'undefined', True)
3237043.js (20, 9) (u'undefined', True)
4025420.js (75, 2) (u'undefined', True)
1359486.js (44, 0) (u'parentDiv', False)
1359486.js (0, 3) (u'window', False)
1359486.js (49, 17) (u'self', False)
1359486.js (48, 9) (u'e', False)
1359486.js (45, 4) (u'percent', False)
1835890.js (27, 2) (u'undefined', True)
213418.js (25, 2) (u'obj', False)
1110459.js (3, 6) (u'undefined', True)
1166686.js (9, 13) (u'undefined', True)
4726176.js (24, 5) (u'undefined', True)
2889603.js (27, 15) (u'ksversion', False)
2889603.js (9, 4) (u'Module', True)
1451447.js (5, 6) (u'undefined', True)
4405727.js (4, 4) (u'arguments', False)
552367.js (0, 0) (u'import', True)
4443585.js (14, 2) (u'ref', False)
3245417.js (23, 14) (u'undefined', True)
4053044.js (21, 2) (u'undefined', True)
5300865.js (23, 4) (u'actions', False)
5300865.js (43, 10) (u'response', False)
5300865.js (38, 10) (u'response', False)
976474.js (49, 12) (u'undefined', True)
522894.js (60, 4) (u'undefined', True)
873167.js (16, 7) (u'undefined', True)
485352.js (11, 4) (u'undefined', True)
2556384.js (43, 3) (u'Infinity', True)
5225700.js (0, 22) (u'declare', False)
5225700.js (8, 4) (u'disabled', False)
5225700.js (22, 4) (u'arguments', False)
5225700.js (12, 4) (u'value', False)
5225700.js (0, 36) (u'_FormWidgetMixin', False)
5225700.js (4, 2) (u'requires', False)
5225700.js (0, 28) (u'ready', False)
3733122.js (4, 4) (u'undefined', True)
1187223.js (21, 6) (u'decPlaces', False)
1231013.js (5, 4) (u'undefined', True)
731613.js (40, 6) (u'undefined', True)
4813799.js (15, 4) (u'undefined', True)
974097.js (38, 12) (u'undefined', True)
492934.js (28, 8) (u'undefined', True)
4612375.js (17, 7) (u'undefined', True)
1226023.js (58, 10) (u'o', False)
2616533.js (47, 4) (u'undefined', True)
1828826.js (51, 36) (u'x', False)
1828826.js (60, 36) (u'x', False)
